_Puffer_Puffer_Erzeuger Kessel/Puffer_Ladezeiten_Sonntag_Absenktemperatur;/120/10601/12130/0/1117
_Puffer_Puffer_Erzeuger Kessel/Puffer_Ladezeiten_Sonntag_Zeitfenster 1;/120/10601/12130/0/1106
_Puffer_Puffer_Erzeuger Kessel/Puffer_Ladezeiten_Sonntag_Zeitfenster 2;/120/10601/12130/0/1107
_Puffer_Puffer_Erzeuger Kessel/Puffer_Ladezeiten_Sonntag_Zeitfenster 3;/120/10601/12130/0/1108
_Puffer_Puffer_Erzeuger Solar_Ladestrategie Solar;/120/10601/0/0/13012
_Puffer_Puffer_Erzeuger Solar_Puffer oben;/120/10601/0/0/13933
_Puffer_Puffer_Erzeuger Solar_Puffer oben min Solar;/120/10601/0/0/12407
_Puffer_Puffer_Erzeuger Solar_Puffer Soll Solar;/120/10601/0/0/12408
_Puffer_Puffer_Erzeuger Solar_Priorität Oben;/120/10601/0/0/13260
_Puffer_Puffer_Erzeuger Solar_Puffer mitte;/120/10601/0/0/13934
_Puffer_Puffer_Erzeuger Solar_Puffer unten;/120/10601/0/0/13935
_Puffer_Puffer_Erzeuger Solar_Priorität Unten;/120/10601/0/0/13261
_Puffer_Puffer_Erzeuger Solar_Puffer max;/120/10601/0/0/13014
_Puffer_Puffer_Erzeuger Solar_Solarvorrang_Solarvorrang;/120/10601/0/0/12428
_Puffer_Puffer_Erzeuger Solar_Solarvorrang_Beginn Solarvorrang;/120/10601/0/0/12429
_Puffer_Puffer_Erzeuger Solar_Solarvorrang_Solarvorrang ändern ab;/120/10601/0/0/12430
_Puffer_Puffer_Erzeuger Solar_Solarvorrang_Ende Solarvorrang;/120/10601/0/0/12431
_Puffer_Puffer_Erzeuger Solar_Solarvorrang_Min. Außentemp. Solarvorrang;/120/10601/0/0/12432
_Puffer_Puffer_Verbraucher_Puffer oben;/120/10601/0/0/13201
_Puffer_Puffer_Verbraucher_Puffer aus;/120/10601/0/0/13251
_Puffer_Puffer_Verbraucher_Solar Überschuss_ab Außentemperatur;/120/10601/0/0/12680
_Puffer_Puffer_Verbraucher_Solar Überschuss_ab Puffertemperatur;/120/10601/0/0/13358
_Puffer_Puffer_Warmwasserbereich_Warmwasser;/120/10601/0/0/13434
